fish_id,species,common_name,waterbody_name,kingdom,phylum,class,order,family,genus,status,feeding_type,temp_max,weight_max,length_max,temp_pref_min,temp_pref_max,temp_range,fecundity_mean,fecundity_min,fecundity_max,trophic_lvl_estimate,trophic_lvl,wb_ph_min,wb_ph_max,wb_salinity_min,wb_salinity_max,wb_do_min,wb_do_max,wb_bod_min,wb_bod_max,wb_turbidity_min,wb_turbidity_max,wb_temp_min,wb_temp_max
F1400,Tampichthys dichroma,Bicolor minnow,Upper Pánuco,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Tampichthys,CR,Insectivore,,,,,,,,,,2.9,,,,0.0,0.0,6.0,6.0,,,,,12.0,20.0
F1401,Telestes polylepis,,"Stajnicka Jaruga, Croatia",Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Telestes,Established,Omnivore,,,15,,,,,,,3.3,,7.8,7.8,0.1,0.1,9.2,9.2,1.4,1.4,1.2,1.2,12.0,16.0
F1402,Telestes turskyi,Cikola riffle dace,"Cikola River, Croatia",Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Telestes,Established,predator,,,16,,,,,,,,3.5,7.6,7.6,0.2,0.2,8.5,8.5,1.8,1.8,2.1,2.1,13.0,18.0
F1402,Telestes turskyi,Cikola riffle dace,"Busko Blato Lake, Bosnia",Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Telestes,Reported,predator,,,16,,,,,,,,3.5,7.4,7.4,0.3,0.3,7.9,7.9,2.0,2.0,2.5,2.5,12.0,20.0
F1403,Valencia hispanica,Valencia toothcarp,"Marjal dels Moros, Spain",Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Valenciidae,Valencia,Established,predator,3.5,,6.9,10,28,18,135,105.0,165.0,,3.46,7.5,7.5,0.4,0.4,8.1,8.1,2.2,2.2,3.1,3.1,14.0,22.0
F1403,Valencia hispanica,Valencia toothcarp,"Albufera de Valencia, Spain",Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Valenciidae,Valencia,Reintroduced,predator,3.5,,6.9,10,28,18,135,105.0,165.0,,3.46,7.2,7.2,0.6,0.6,7.4,7.4,3.5,3.5,5.8,5.8,16.0,28.0
F1403,Valencia hispanica,Valencia toothcarp,"El Hondo Wetland, Spain",Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Valenciidae,Valencia,Reintroduced,predator,3.5,,6.9,10,28,18,135,105.0,165.0,,3.46,7.6,7.6,0.5,0.5,8.3,8.3,2.0,2.0,2.7,2.7,15.0,25.0
F1404,Algansea lacustris,Pátzcuaro chub,"Lake Pátzcuaro, Mexico",Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Algansea,Established,Invertivore,,,,,,,,,,3,,8.2,8.2,0.5,0.5,6.8,6.8,3.2,3.2,5.4,5.4,16.0,24.0
F1405,Astroblepus formosus,Bagre de torrente,"Upper Ucayali River, Peru",Animalia,Chordata,Actinopterygii,Siluriformes,Astroblepidae,Astroblepus,Established,Invertivore,,,,,,,,,,3.2,,7.4,7.4,0.1,0.1,9.1,9.1,1.2,1.2,1.5,1.5,12.0,18.0
F1406,Astroblepus ubidiai,Preñadilla,"Imbakucha Watershed, Ecuador",Animalia,Chordata,Actinopterygii,Siluriformes,Astroblepidae,Astroblepus,Established,Invertivore,,,,,,,,,,3.3,,7.3,7.3,0.2,0.2,8.6,8.6,1.9,1.9,2.4,2.4,12.0,18.0
F1407,Bedotia tricolor,Madagascar rainbowfish,"Tributary of Faraony River, Madagascar",Animalia,Chordata,Actinopterygii,Atheriniformes,Bedotiidae,Bedotia,Established,Invertivore,,,,,,,,,,2.6,,7.2,7.2,0.2,0.2,8.4,8.4,2.1,2.1,2.8,2.8,20.0,26.0
F1408,Cobitis jadovaensis,Jadova loach,"Jadova River, Croatia",Animalia,Chordata,Actinopterygii,Cypriniformes,Cobitidae,Cobitis,Established,Omnivore,,,,,,,,,,2.3,,7.8,7.8,0.1,0.1,9.0,9.0,1.3,1.3,1.1,1.1,11.0,16.0
F1409,Cyprinus qionghaiensis,Qionghai carp,"Qionghai Lake, China",Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,Possibly Extinct,Omnivore,,,,,,,,,,3.3,,8.1,8.1,0.3,0.3,7.6,7.6,2.8,2.8,4.2,4.2,14.0,22.0
F1410,Fundulus philpisteri,,"Río San Fernando Basin, Mexico",Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,Established,Invertivore,,,,,,,,,,3.3,,7.6,7.6,0.3,0.3,8.2,8.2,2.0,2.0,2.5,2.5,18.0,26.0
F1411,Galaxias anomalus,Roundhead galaxias,"Taieri River Tributaries, New Zealand",Animalia,Chordata,Actinopterygii,Osmeriformes,Galaxiidea,Galaxias,Established,predator,,,,0,9,9,,,,,3.19,7.4,7.4,0.1,0.1,8.7,8.7,1.6,1.6,2.2,2.2,10.0,16.0
F1411,Galaxias anomalus,Roundhead galaxias,"Sutton Stream, New Zealand",Animalia,Chordata,Actinopterygii,Osmeriformes,Galaxiidea,Galaxias,Established,predator,,,,0,9,9,,,,,3.19,7.5,7.5,0.1,0.1,8.9,8.9,1.5,1.5,2.0,2.0,9.0,15.0
F1412,Galaxias cobitinis,Lowland longjaw galaxias,"Kauru River, New Zealand",Animalia,Chordata,Actinopterygii,Osmeriformes,Galaxiidea,Galaxias,Established,Invertivore,,,,,,,,,,3.2,,7.6,7.6,0.1,0.1,8.5,8.5,1.7,1.7,2.3,2.3,10.0,15.0
F1412,Galaxias cobitinis,Lowland longjaw galaxias,"Awakino Stream, New Zealand",Animalia,Chordata,Actinopterygii,Osmeriformes,Galaxiidea,Galaxias,Established,Invertivore,,,,,,,,,,,,7.5,7.5,0.1,0.1,8.7,8.7,1.5,1.5,2.0,2.0,9.0,14.0
F1413,Galaxias eldoni,Eldon’s galaxias,"Deep Stream, New Zealand",Animalia,Chordata,Actinopterygii,Osmeriformes,Galaxiidea,Galaxias,Established,predator,,,,,,,,,,,3.22,7.4,7.4,0.1,0.1,8.6,8.6,1.5,1.5,2.1,2.1,9.0,14.0
